,dialogue_with_speaker
31,"NARRATOR:Outside, BRAN tries and misses again. Everyone laughs."
32,"NED: And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
33,"JON: Don’t think too much, Bran."
34,ROBB: Relax your bow arm.
35,"NARRATOR:BRAN pulls the arrow back. An arrow hits the bullseye. BRAN (still with his arrow), JON, and ROBB turn in surprise to see ARYA, who curtsies after her perfect shot. ROBB and JON laugh as Bran takes out after ARYA."
36,"JON/ROBB: Quick, Bran, faster!"
37,NARRATOR:RODRICK CASSEL and THEON GREYJOY approach NED and CATELYN on the balcony.
38,CASSEL: Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.
39,NARRATOR:NED grimaces.
40,NED: Get the lads to saddle their horses.
41,NARRATOR:THEON departs.
42,CATELYN: Do you have to?
43,"NED: He swore an oath, Cat."
44,"CASSEL: The law is law, my lady."
45,"NED: Tell Bran he’s coming, too."
46,NARRATOR:CASSEL nods and departs.
47,CATELYN: Ned. Ten is too young to see such things.
48,NED: He won’t be a boy forever. And winter is coming.
49,"NARRATOR:NED departs. In the courtyard, ROBB and JON gather the arrows. CATELYN turns and glares down on JON. He looks at her and walks away."
50,"ROBB: Lad, go run back and get the rest."
51,"NARRATOR:Scene shifts, and we see WILL being taken to the block."
52,"WILL (muttering): White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
53,NARRATOR:He and NED face each other.
54,"WILL: I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry."
55,"NARRATOR:NED nods yes, and WILL is positioned on the tree limb that serves as a block. NED draws Ice from a scabbard held by Theon."
56,"WILL (whispering): Forgive me, lord."
57,NARRATOR:NED bows his head over ICE.
58,"NED: In the name of Robert of the House Baratheon, first of his name …"
59,JON (to BRAN): Don’t look away.
60,NED: King of the Andals and the First Men …
61,JON: Father will know if you do.
62,"NED: Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
63,NARRATOR:NED swings ICE and beheads WILL. BRAN does not look away.
64,JON: You did well.
65,NARRATOR:He walks away. ROBB turns and puts his arm around BRAN and they go to their horses together. NED approaches BRAN.
66,NED: You understand why I did it?
67,BRAN: Jon said he was a deserter.
68,NED: But do you understand why I had to kill him?
69,BRAN: Our way is the old way?
70,NED: The man who passes the sentence should swing the sword.
71,BRAN: Is it true he saw the White Walkers?
72,NED: The White Walkers have been gone for thousands of years.
73,BRAN: So he was lying?
74,NED: A madman sees what he sees.
75,NARRATOR:Scene shifts to a dead stag’s head. The Winterfell men gather on the bridge They see a ravaged deer before them.
76,JON: What is it?
77,THEON: Mountain lion?
78,NED: There are no mountain lions in these woods.
79,"NARRATOR:With swords out, they begin to search. NED finds a dead direwolf with antlers through her throat. Her pups are whimpering around her."
80,THEON: It’s a freak.
81,NED: It’s a direwolf.
82,NARRATOR:NED and CASSEL glance at each other.
83,NED: Tough old beast.
84,NARRATOR:He pulls out the antlers.
85,ROBB: There are no direwolves south of the Wall.
86,JON: Now there are five.
87,NARRATOR:Jon picks up a pup and offers it to BRAN.
88,JON: You want to hold it?
89,BRAN: Where will they go? Their mother’s dead.
90,CASSEL: They don’t belong down here.
91,NED: Better a quick death. They won’t last without their mother.
92,THEON: Right. Give it here.
93,BRAN: NO!
94,ROBB (disgustedly to THEON): Put away your blade.
95,"THEON: I take orders from your father, not you."
96,"BRAN: Please, father!"
97,"NED: I’m sorry, Bran."
98,JON: Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
99,"NARRATOR:Everyone looks at NED, BRAN with great hope."
100,"NED: You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
101,NARRATOR:BRAN cradles his pup as JON hands more pups to ROBB.
102,BRAN (to JON): What about you?
103,JON: I’m not a Stark. Get on.
104,"NARRATOR:JON walks away, pauses, and hears another whimper."
105,ROBB: What is it?
106,NARRATOR:JON pulls up a white wolf pup.
107,"THEON: The runt of the litter. That one’s yours, Snow."
108,"NARRATOR:Scene shifts to bells ringing at Kings Landing. In front of the Iron Throne, surrounded by druidical looking celebrants, lies the body of JON ARRYN. Up in the balcony, CERSEI watches the scene below as JAIME approaches."
109,"JAIME: As your brother, I feel it’s my duty to warn you: You worry too much. It’s starting to show."
110,"CERSEI: And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid."
111,"JAIME: There was nothing to be afraid of until you told father. In a whisper, mimicking We’re Lannisters. Lannisters don’t act like fools."
112,CERSEI: What if Jon Arryn told someone?
113,JAIME: But who would he tell?
114,CERSEI: My husband.
115,"JAIME: If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn’t know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he’s off fucking boars and hunting whores. Or is it the other way around? And life will go on."
116,CERSEI: You should be the Hand of the king.
117,"JAIME: That’s an honor I can do without. Their days are too long, their lives are too short."
118,NARRATOR:Scene shifts to a raven approaching Winterfell. CATELYN crosses a busy courtyard and finds NED in the godswood.
119,CATELYN: All these years and I still feel like an outsider when I come here.
120,NED: You have five northern children. You’re not an outsider.
121,CATELYN: I wonder if the old gods agree.
122,NED: It’s your gods with all the rules.
123,"CATELYN: I am so sorry, my love."
124,NED: Tell me.
125,CATELYN: There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.
126,NED: Your sister. The boy …
127,CATELYN: They both have their health. Gods be good. pause The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
128,"NED: He’s coming this far North, there’s only one thing he’s after."
129,"CATELYN: You can always say no, Ned."
130,NARRATOR:Scene shifts to the Winterfell great hall where a great banquet is being prepared.
131,CATELYN: We need plenty of candles for Lord Tyrion’s chamber. I’m told he reads all night.
132,MAESTER LUWIN: I’m told he drinks all night.
133,CATELYN: How much could he possibly drink? A man of his … stature.
134,LUWIN: We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.
135,"CATELYN: In any case, candles."
136,"NARRATOR:Scene shifts to Robb, Theon, and Jon getting barbered."
137,JON: Why’s your mother so dead-set on us getting pretty for the king?
138,"THEON: It’s for the queen, I bet. I hear she’s sleek as a mink?"
139,ROBB: I hear the prince is a right royal prick.
140,THEON: Think of all those southern girls he gets to stab with his right royal prick.
141,"ROBB: Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair."
142,"NARRATOR:Scene shifts to the royal procession approaching Winterfell. Bran sees them from his perch high atop a castle wall and clambers nimbly down to tell everyone. CATELYN and LUWIN walk to the courtyard, passing BRAN’s wolf pup."
143,"CATELYN: Gods, but they grow fast. Seeing BRAN on the wall Brandon!"
144,BRAN: I saw the king! He’s got hundreds of people!
145,CATELYN: How many times have I told you: No climbing!
146,BRAN: But he’s coming right now! Down our road!
147,CATELYN: I want you to promise me: No more climbing.
148,BRAN (looking down): I promise.
149,CATELYN: D’you know what?
150,BRAN: What?
151,CATELYN: You always look at your feet before you lie. Run and find your father. Tell him the king is close.
152,"NARRATOR:BRAN runs off, followed by his wolf pup."
153,"NARRATOR:Scene shifts to grand entry of the king’s horses and men. ARYA, wearing a helm and cloak, pushes her way into a tall wagon for a better look. In rides JOFFREY, followed by the HOUND. The other Starks wait in a greeting line."
154,"CATELYN: Where’s Arya? Sansa, where’s your sister?"
155,NARRATOR:More riders with banners. ARYA scoots past her parents to get in the receiving line.
156,"NED: Hey,, hey, hey, hey. What are you doing with that on? Pulls off ARYA’s helm"
157,ARYA (pushing BRAN): Move!
158,"NARRATOR:JOFFREY rides up, SANSA smiles at him, ROBB glares at JOFFREY. The HOUND pulls up his helm. The coach carrying CERSEI lumbers in, followed by KING ROBERT. All kneel. ROBERT heaves himself off his horse. NED looks shocked at the sight of his old friend, now fat and red-faced. ROBERT signals for all to rise and looks at NED."
159,NED: Your Grace.
160,ROBERT: You’ve got fat.
161,NARRATOR:NED gives ROBERT a “What about you?” look. They start laughing.
162,ROBERT: Cat!
163,CATELYN: Your Grace.
164,ROBERT: Nine years. Why haven’t I seen you? Where the hell have you been?
165,"NED: Guarding the North for you, Your Grace. Winterfell is yours."
166,NARRATOR:CERSEI and her other children descend from the coach.
167,ARYA: Where’s the Imp?
168,SANSA: Will you shut up?
169,"ROBERT: Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?"
170,ARYA: Arya.
171,NARRATOR:ROBERT (to BRAN) Ooh. Show us your muscles. You’ll be a soldier.
172,NARRATOR:JAIME removes his helm.
173,ARYA: That’s Jaime Lannister. The queen’s twin brother.
174,SANSA: Would you please shut up.
175,NARRATOR:CERSEI approaches.
176,NED: My queen.
177,CATELYN: My queen.
178,ROBERT: Take me to your crypt. I want to pay my respects.
179,"CERSEI: We’ve been riding for a month, my love. Surely the dead can wait."
180,ROBERT: Ned.
181,ARYA: Where’s the Imp?
182,"NARRATOR:CERSEI, humiliated in front of all, walks back to JAIME."
183,CERSEI: Where is our brother? Go find the little beast.
184,NARRATOR:Scene changes to the crypt.
185,NED: Tell me about Jon Arryn.
186,"ROBERT: One minute he was fine, and then … Burned right through him, whatever it was. I loved that man."
187,NED: We both did.
188,"ROBERT: He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what."
189,NED: Aye.
190,"ROBERT: Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king."
191,NARRATOR:NED kneels.
192,NED: I’m not worthy of the honor.
193,"ROBERT: I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses."
194,"NARRATOR:Scene changes to JAIME in the Winterfell settlement. We see Tyrion inside a whorehouse, swilling liquor and laughing as a woman pops into view after servicing him."
195,TYRION: Mmh. It is true what they say about the Northern girls.
196,ROS: Did you hear the king’s in Winterfell?
197,TYRION: I did hear something about that.
198,ROS: And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.
199,TYRION: And the other brother?
200,ROS: The queen has two brothers?
201,TYRION: There’s the pretty one. And there’s the clever one.
202,ROS: I hear they call him the Imp.
203,TYRION: I hear he hates that nickname.
204,ROS: Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.
205,TYRION: Clever girl.
206,"ROS: We’ve been expecting you, Lord Tyrion."
207,TYRION: Have you?
208,TYRION: The gods gave me one blessing.
209,NARRATOR:She climbs on TYRION. JAIME walks in without knocking.
210,JAIME: Don’t get up.
211,ROS: M’lord.
212,"TYRION: Should I explain to you the meaning of a closed door in a whorehouse, brother?"
213,"JAIME: You’ve much to teach me, no doubt. But our sister craves your attention."
214,"TYRION: She has odd cravings, our sister."
215,"JAIME: A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people."
216,"TYRION: I’m sorry, I’ve begun the feast a bit early. And this is the first of many courses."
217,"JAIME: I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown."
218,NARRATOR:JAIME leaves.
219,TYRION: Close the door!
220,"NARRATOR:Scene changes to the Winterfell crypt, at Lyanna’s tomb. Robert places a feather in the hand of her statue."
221,ROBERT: Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.
222,NED: She was my sister. This is where she belongs.
223,ROBERT: She belonged with me.
224,NARRATOR:He touches Lyanna’s face.
225,"ROBERT: In my dreams, I kill him every night."
226,"NED: It’s done, Your Grace. The Targaryens are gone."
227,ROBERT: Not all of them.
228,"NARRATOR:Scene shifts to Daenerys on a balcony in Pentos, across the Narrow Sea."
229,VISERYS (off camera): Daenerys!
230,NARRATOR:He enters a large chamber.
231,VISERYS: Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?
232,DAENERYS: We’ve been his guests for over a year and he’s never asked us for anything.
233,"VISERYS: Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?"
234,DAENERYS: No.
235,NARRATOR:VISERYS nods and starts to leave the chamber. He turns.
236,"VISERYS: When they write the history of my reign, sweet sister, they will say it began today."
237,NARRATOR:Daenerys turns and steps into a steaming hot bath with a despairing look on her face.
238,"MAID: It’s too hot, my lady."
239,"NARRATOR:But DAENERYS keeps stepping deeper. The scene shifts to ILLYRIOS, DAENERYS, AND VISERYS outside the mansion, awaiting Khal Drogo."
240,VISERYS: Where is he?
241,ILLYRIO: The Dothraki are not known for their punctuality.
242,NARRATOR:A host of Dothraki come riding up. Khal Drogo wheels his stallion into the front.
243,"ILLYRIO: (Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen."
244,"NARRATOR:VISERYS (to DAENERYS) Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He’s a savage, of course, but he’s one of the finest killers alive. And you will be his queen."
245,"ILLYRIO: Come forward, my dear."
246,"NARRATOR:KHAL DROGO watches as DAENERYS walks toward him. She does not hesitate and looks straight at him, although there is fear on her face. KHAL DROGO gazes at her and then leads his horsemen on a charge away."
247,VISERYS: Where’s he going?
248,ILLYRIO: The ceremony is over.
249,VISERYS: But he didn’t say anything. Did he like her?
250,"ILLYRIO: Trust me, Your Grace. If he didn’t like her, we’d know."
251,"NARRATOR:The scene shifts to ILLYRIO, VISERYS, AND DAENERYS ON A GARDEN BALCONY OVERLOOKING THE SEA."
252,ILLYRIO: It won’t be long now. Soon you will cross the Narrow Sea and take back your father’s throne. The people drink secret toasts to your health. They cry out for their true king.
253,VISERYS: When will they be married?
254,ILLYRIO: Soon. The Dothraki never stay still for long.
255,VISERYS: Is it true they lie with their horses?
256,ILLYRIO: I wouldn’t ask Khal Drogo.
257,VISERYS: Do you take me for a fool?
258,ILLYRIO: I take you for a king. Kings lack the caution of common men. My apologies if I’ve given offense.
259,VISERYS: I know how to play a man like Drogo. I give him a queen and he gives me an army.
260,NARRATOR:DAENERYS (pleadingly) I don’t want to be his queen. I want to go home.
261,"VISERYS: So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?"
262,DAENERYS: I don’t know.
263,"VISERYS: We go home with an army. With Khal Drogo’s army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that’s what it took."
264,"NARRATOR:He gives DAENERYS a brotherly kiss on the forehead and walks away. The scene shifts to a bedroom in Winterfell, where CATELYN is fixing SANSA’S hair."
265,SANSA: Do you think Joffrey will like me? What if he thinks I’m ugly?
266,CATELYN: Then he is the stupidest prince that ever lived.
267,SANSA: He’s so handsome.
268,NARRATOR:CATELYN rolls her eyes.
269,SANSA: When would we be married? Soon or do we have to wait?
270,CATELYN: Hush now. Your father hasn’t even said yes.
271,SANSA: Why would he say no? He’d be the second most powerful man in the kingdoms.
272,CATELYN: He’d have to leave home. He’d have to leave me. And so would you.
273,SANSA: You left your home to come here. And I’d be queen someday. Please make father say yes.
274,CATELYN: Sansa…
275,"SANSA: Please, please. It’s the only thing I ever wanted."
276,"NARRATOR:Scene shifts to the Winterfell banquet. Laughter, music, KING ROBERT getting bawdy with a wench. CATELYN and CERSEI watch, CATELYN embarrassed for CERSEI, who looks disgusted. Out in the courtyard, JON takes out his frustration on a fencing dummy. His uncle BENJEN rides up."
277,BENJEN: Is he dead yet?
278,JON: Uncle Benjen!
279,NARRATOR:They hug.
280,BENJEN: You got bigger. I rode all day. Didn’t want to leave you alone with the Lannisters. Why aren’t you at the feast?
281,JON: Lady Stark thought it might insult the royal family to seat a bastard in their midst.
282,"BENJEN: Well, you’re always welcome on the wall. No bastard was ever refused a seat there."
283,JON: So take me with you when you go back.
284,BENJEN: Jon…
285,"JON: Father will let me if you ask him, I know he will."
286,BENJEN: The Wall isn’t going anywhere.
287,JON: I’m ready to swear your oath.
288,BENJEN: You don’t understand what you’d be giving up. We have no families. None of us will ever father sons.
289,JON: I don’t care about that.
290,"BENJEN: You might, if you knew what it meant. … I’d better get inside. Rescue your father from his guests. We’ll talk later."
291,NARRATOR:BENJEN goes to the banquet.
292,TYRION: Your uncle’s in the Night’s Watch.
293,JON: What’re you doing back there?
294,TYRION (drinking): Preparing for a night with your family. I’ve always wanted to see the Wall.
295,JON: You’re Tyrion Lannister. The queen’s brother?
296,"TYRION: My greatest accomplishment. You – you’re Ned Stark’s bastard, aren’t you?"
297,NARRATOR:JON looks angry and turns away.
298,"TYRION: Did I offend you? Sorry. You are the bastard, though."
299,JON: Lord Eddard Stark is my father.
300,"TYRION: And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you."
301,JON: What the hell do you know about being a bastard?
302,TYRION: All dwarves are bastards in their fathers’ eyes.
303,NARRATOR:TYRION departs. JON picks up his sword and attacks the dummy with new ferocity.
304,"NARRATOR:The scene shifts back to the banquet, in full raucous swing. NED is off to himself; BENJEN comes up to him."
305,NED: The boy I beheaded. Did you know him?
306,"BENJEN: Of course I did. Just a lad. But he was tough, Ned. A true Ranger."
307,NED: He was talking madness. Said the Walkers slaughtered his friends.
308,BENJEN: The two he was with are still missing.
309,NED: A wildling ambush.
310,BENJEN: Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.
311,NED: Winter is coming.
312,NARRATOR:ROBB approaches.
313,ROBB: Uncle Benjen.
314,BENJEN: Robb boy. How are ye?
315,ROBB: I’m good.
316,NARRATOR:KING ROBERT gets even more bawdy with a wench.
317,"NARRATOR:CATELYN (in desperation) Is this your first time in the North, Your Grace?"
318,CERSEI: Yes. Lovely country.
319,NARRATOR:They observe SANSA.
320,"CATELYN: I’m sure it’s very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time."
321,NARRATOR:SANSA approaches and smiles shyly at CERSEI.
322,"CERSEI: Hello, little dove. But you are a beauty. How old are you?"
323,"SANSA: Thirteen, Your Grace."
324,CERSEI: You’re tall. Still growing?
325,"SANSA: I think so, Your Grace."
326,CERSEI: And have you bled yet?
327,"SANSA (discomfited): No, Your Grace."
328,CERSEI: And your dress. Did you make it?
329,NARRATOR:SANSA nods yes.
330,CERSEI: Such talent. You must make something for me.
331,NARRATOR:SANSA departs.
332,CERSEI (to CATELYN): I hear we might share a grandchild someday.
333,CATELYN: I hear the same.
334,CERSEI: Your daughter will do well in the capital. Such a beauty shouldn’t stay hidden up here forever.
335,NARRATOR:SANSA and JOFFREY catch each other’s eye. JOFFREY smiles at her and she turns to her friend.
336,NARRATOR:JAIME and NED meet up. JAIME blocks their path.
337,NED: Your pardon.
338,JAIME: I hear we might be neighbors soon. I hope it’s true.
339,"NED: Yes, the king has honored me with his offer."
340,"JAIME: I’m sure we’ll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale."
341,NED: I don’t fight in tournaments.
342,JAIME: No? Getting a little old for it?
343,"NED: I don’t fight in tournaments because when I fight a man for real, I don’t want him to know what I can do."
344,JAIME: Well said.
345,NARRATOR:ARYA flips food onto SANSA’s face.
346,SANSA: Arya!
347,NARRATOR:CATELYN signals a laughing ROBB to deal with the girls. He hoists up ARYA.
348,ROBB: Time for bed.
349,NARRATOR:The scene shifts to after the banquet. NED and CATELYN are in their bed.
350,"NED: I’m a Northman. I belong here with you, not down south in that rat’s nest they call a capital."
351,CATELYN: I won’t let him take you.
352,NED: The king takes what he wants. That’s why he’s king.
353,"CATELYN: I’ll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.’"
354,NED: How did he get so fat?
355,CATELYN: He only stops eating when it’s time for a drink.
356,NARRATOR:There’s a knock at the door.
357,"A VOICE: It’s Maester Luwin, my lord."
358,NED: Send him in.
359,"LUWIN: Pardon, my lord, my lady. A rider in the night from your sister."
360,NARRATOR:He hands CATELYN a sealed note.
361,NED: Stay.
362,CATELYN: This was sent from the Eyrie. What’s she doing at the Eyrie? She hasn’t been back there since her wedding.
363,"NARRATOR:CATELYN reads the note, looks up in alarm, and then burns it."
364,NED: What news?
365,CATELYN: She’s fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.
366,"NED: She’s fresh widowed, Cat. She doesn’t know what she’s saying."
367,"CATELYN: Lysa’s head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son’s life, if she wasn’t certain her husband was murdered?"
368,"LUWIN: If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?"
369,CATELYN: They murdered the last Hand. Now you want Ned to take the job.
370,"LUWIN: The king rode for a month to ask Lord Stark’s help. He’s the only one he trusts. You swore the king an oath, my lord."
371,CATELYN: He spent half his life fighting Robert’s wars. He owes him nothing. (To NED) Your father and brother rode south once on a king’s demand.
372,LUWIN: A different time. Different king.
373,NARRATOR:The scene shifts to the wild wedding celebration of KHAL DROGO and DAENERYS. Fighting and fornication. DAENERYS looks stricken at everything around her.
374,VISERYS: When do I meet with the Khal? We need to begin planning the invasion.
375,"ILLYRIO: If Khal Drogo has promised you a crown, you shall have it."
376,VISERYS: When?
377,ILLYRIO: When their omens favor war.
378,VISERYS: I piss on Dothraki omens. I waited 17 years to get my throne back.
379,NARRATOR:The sex and violence intensify. Two men fight to the death over a woman each is trying to rape. KHAL DROGO watches avidly.
380,ILLYRIO: A Dothraki wedding without at least three deaths is considered a dull affair.
381,"NARRATOR:A knight in Westerosi garb appears. KHAL DROGO greets him in Dothraki. It is JORAH MORMONT, bearing books."
382,JORAH: A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.
383,"DAENERYS: Thank you, ser. Are you from my country?"
384,"JORAH: Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king."
385,NARRATOR:DANY is presented with a chest with three dragon eggs in it.
386,"ILLYRIO: Dragons’ eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful."
387,"DAENERYS: Thank you, Magister."
388,"NARRATOR:KHAL DROGO rises and strides forward. DAENERYS follows him, looking sick with fear. The Dothraki crowd behind her as she goes. The KHAL leads her to a white mare."
389,"DAENERYS: She’s beautiful. … Ser Jorah, I don’t know how to say ‘thank you’ in Dothraki."
390,JORAH: There is no word for ‘thank you’ in Dothraki.
391,NARRATOR:The KHAL puts DANY on her horse and mounts his.
392,VISERYS: Make him happy.
393,NARRATOR:The scene shifts to the seaside at sunset. The KHAL begins to unwrap DANY’s dress. She is sobbing. He touches the tears on her face.
394,KHAL DROGO: No.
395,DAENERYS: Do you know the Common Tongue?
396,KHAL DROGO: No.
397,DAENERYS: Is ‘no’ the only word that you know?
398,KHAL DROGO: No.
399,NARRATOR:He takes off her gown and bends her down.
400,NARRATOR:The scene shifts to Winterfell. Tyrion and the Hound are seated outside the day after the banquet.
401,"THE HOUND: Rough night, Imp?"
402,"TYRION: If I get through this without squirting from one end or the other, it will be a miracle."
403,THE HOUND: I didn’t pick you for a hunter.
404,TYRION: The greatest in the land. My spear never misses.
405,THE HOUND: It’s not hunting if you pay for it.
406,NARRATOR:The king and Ned come into view.
407,ROBERT: Are you as good with a spear as you used to be?
408,"NED: No, but I’m still better than you."
409,ROBERT: I know what I’m putting you through. Thank you for saying yes. I only ask you because I need you. You’re a loyal friend. You hear me? A loyal friend. The last one I’ve got.
410,NED: I hope I’ll serve you well.
411,"ROBERT: You will. And I’ll make sure you don’t look so fucking grim all the time. Come on, boys, let’s go kill some boar!"
412,"NARRATOR:The king’s party rides off, NED nodding goodbye to BRAN, whose wolf pup begins sniffing at his feet."
413,"BRAN: Come on, you."
414,"NARRATOR:BRAN begins climbing, his wolf pup crying at the bottom of the castle wall. As he nears the top, he hears a woman and man moaning. Peering in the window, he sees CERSEI and JAIME having sex. CERSEI sees BRAN."
415,CERSEI: Stop. STOP.
416,NARRATOR:JAIME runs and grabs BRAN at the window.
417,JAIME: Are you completely mad?
418,CERSEI: He saw us.
419,JAIME: It’s all right. It’s all right.
420,CERSEI: He saw us!
421,"JAIME: I heard you the first time. (To BRAN) Quite the little climber, aren’t you? How old are you, boy?"
422,BRAN: Ten
423,NARRATOR:.
424,JAIME: Ten.
425,"NARRATOR:JAIME looks at CERSEI, who gazes back imploringly."
426,JAIME: The things I do for love.
427,NARRATOR:He shoves BRAN out the window.
428,NARRATOR:/ BLACKOUT /
429,"NARRATOR:We begin where “Baelor” left off; after the execution of Ned Stark, we see Ilyn Payne’s bloodied sword and the Hound picking up Ned’s head to show it to the rapturous townsfolk. We then pan to Arya, her eyes closed and her face pressed against Yoren’s chest."
